name;residuals-runtime;residuals-parsing;residuals-residuals
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00139641; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.1; 0.0990164; 0.0029
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;0.7; 0.695115; 0.0253
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;0.09; 0.0936491; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;0.75; 0.693246; 0.0330
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;0.09; 0.0965152; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;0.07; 0.0731339; 0.0021
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;0.1; 0.0955199; 0.0033
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;0.09; 0.0907062; 0.0033
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;0.09; 0.0960606; 0.0029
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;1.69; 1.67193; 0.0600
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00115826; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;1.68; 1.63229; 0.0475
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.03; 0.0320895; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;1.77; 1.70205; 0.0523
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;0.1; 0.0960219; 0.0027
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;1.74; 1.65965; 0.0526
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.03; 0.0294155; 0.0009
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;1.69; 1.66626; 0.0465
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.000586854; 0.0001
